intent,pattern,response_type,is_master,response
salam,halo|hello|helo|hallo|allo|oit|yuhu,static,false,"Hai! 👋 Ada yang bisa saya bantu hari ini? 😊"
salam,assalamualaikum,static,false,"Waalaikumsalam! ✨ Ada yang bisa saya bantu?"
terimakasih,terimakasih|makasih|mks|mksh|trims|thanks,static,false,"Sama-sama! Senang bisa membantu Anda. 🙏😇"
bantuan,butuh bantuan|bantu saya|tolong|bagaimana caranya,static,false,"Tentu, saya siap membantu! 💪 Silakan jelaskan apa yang Anda perlukan. 😊"
saran,saya punya saran|saran|masukan,static,false,"Terima kasih banyak atas sarannya! 😇 Mohon hubungi 123456789 untuk tindakan lebih lanjut. ✨"
keluhan,saya ingin komplain|ada masalah|tidak puas,static,false,"Mohon maaf atas ketidaknyamanannya. 🙏 Bisa ceritakan lebih detail masalahnya agar kami bantu? 😟"
out_of_topic,"bjirr|wkwk|gajelas|hskfhkshd|cuaca|makan apa",static,false,"Waduh, sepertinya saya belum paham maksudnya. 😅 Saya hanya bisa membantu terkait layanan administrasi kependudukan. Coba tanya hal lain yuk! 💁‍♂️"
bappenda_info,"bappenda tegal buka jam berapa|jadwal operasional bappenda|kapan bappenda buka|jam kerja kantor bappenda|layanan bappenda sampai jam berapa|bappenda tegal tutup jam brp|bappenda buka sekarang ga|bappenda hari sabtu buka ga|cek antrian bappenda tegal|bayar bappenda online tegal",static,false," Kantor Bappenda Kab. Tegal melayani pada hari Senin - Jumat pukul 08.00 - 14.00 WIB. 🕒 Hari Sabtu, Minggu, dan tanggal merah kami tutup ya. 😊✨"
kpp_info,"jam buka kpp tegal|jadwal kantor pajak tegal|kapan kpp pratama buka|jam operasional kantor pajak|layanan pajak tegal buka jam berapa|kpp tegal tutup jam berapa|kantor pajak buka hari sabtu ga|prosedur urus pajak tegal|cek antrian kpp tegal|bayar pajak tegal online",static,false," Khusus untuk Kantor Pajak (KPP) Tegal, layanan tersedia setiap hari Rabu pukul 08.00 - 12.00 WIB. 🕒 Pastikan datang tepat waktu ya! ✨"
pdam_info,"jam buka pdam tegal|jadwal operasional pdam|kapan pdam buka|jam kerja kantor pdam|layanan pdam sampai jam berapa|pdam tegal tutup jam brp|pdam buka sekarang ga|pdam hari sabtu buka ga|cek antrian pdam tegal|bayar pdam online tegal",static,false," Kantor PDAM (Perumda Air Minum) Kab. Tegal melayani Anda pada hari Senin - Jumat pukul 08.00 - 14.00 WIB. 🕒 Hari Sabtu, Minggu, dan hari libur nasional kantor kami tutup ya. 💧✨"
bank_jateng_info,"jam buka bank jateng tegal|jadwal operasional bank jateng|kapan bank jateng buka|jam kerja kantor bank jateng|layanan bank jateng sampai jam berapa|bank jateng tegal tutup jam berapa|bank jateng buka sekarang ga|bank jateng hari sabtu buka ga|cek antrian bank jateng tegal|transaksi bank jateng online",static,false," Kantor Bank Jateng melayani Anda pada hari Senin - Jumat pukul 08.00 - 14.00 WIB. 🏦 Hari Sabtu, Minggu, dan hari libur nasional kantor kami tutup. Gunakan M-Banking untuk transaksi 24 jam ya! 💳✨"
polres_info,"jam buka polres tegal|jadwal operasional polres|kapan polres buka|jam kerja polres tegal|layanan polres sampai jam berapa|polres tegal tutup jam berapa|apakah polres buka hari ini|polres tegal hari sabtu buka ga|cek antrian polres tegal|layanan polres tegal online",static,false," Layanan Polres Tegal tersedia setiap hari Senin - Jumat pukul 08.00 - 14.00 WIB. 👮‍♂️ Khusus hari Sabtu, Minggu, dan hari libur nasional layanan administrasi tutup. Untuk keadaan darurat, kami siap 24 jam! 🚔✨"
samsat_info,"jam buka samsat tegal|jadwal operasional samsat|kapan samsat buka|jam kerja samsat tegal|layanan samsat sampai jam berapa|samsat tegal tutup jam berapa|apakah samsat buka hari ini|samsat tegal hari sabtu buka ga|cek antrian samsat tegal|pajak kendaraan online tegal",static,false," Layanan SAMSAT Tegal tersedia setiap hari Senin - Jumat pukul 08.00 - 14.00 WIB. 🏍️ Khusus hari Sabtu buka pukul 08.00 - 11.00 WIB. Hari Minggu dan libur nasional tutup. Pastikan STNK dan KTP Anda siap! ✨"
pos_info,"jam buka pos tegal|jadwal kantor pos ind cabang tegal|kapan pos indonesia buka|jam kerja pos indonesia tegal|layanan pos tegal sampai jam berapa|pos tegal tutup jam berapa|kantor pos hari sabtu buka ga|cek antrian pos tegal|kirim paket pos online tegal|jadwal operasional pos indonesia",static,false," Kantor Pos Indonesia Cabang Tegal melayani Anda pada hari Senin - Jumat pukul 08.00 - 14.00 WIB. ✉️📦 Khusus hari Sabtu, Minggu, dan hari libur nasional layanan administrasi kantor cabang tutup ya. ✨"
pupr_info,"jam buka pupr tegal|jadwal dinas pupr|kapan kantor pupr buka|jam kerja dinas pupr tegal|layanan pupr sampai jam berapa|pupr tegal tutup jam berapa|kantor pupr buka hari ini ga|prosedur urus pupr tegal|cek antrian dinas pupr|info operasional pupr tegal",static,false," Kantor Dinas PUPR Kab. Tegal melayani Anda pada hari Senin - Kamis pukul 08.00 - 14.00 WIB. 🏗️👷‍♂️ Khusus hari Jumat, Sabtu, Minggu, dan hari libur nasional kantor tutup ya. ✨"
hukum_info,"jam buka klinik hukum tegal|jadwal operasional klinik hukum|kapan klinik hukum buka|jam kerja kantor klinik hukum|layanan klinik hukum sampai jam berapa|klinik hukum tegal tutup jam berapa|klinik hukum buka sekarang ga|klinik hukum hari sabtu buka ga|konsultasi hukum tegal online|prosedur layanan klinik hukum",static,false," Layanan Klinik Hukum Kab. Tegal tersedia setiap hari Senin - Jumat pukul 08.00 - 14.00 WIB. ⚖️👨‍⚖️ Kami siap membantu memberikan konsultasi hukum bagi warga Tegal. Hari Sabtu, Minggu, dan tanggal merah kami tutup ya. ✨"
taspen_info,"jam buka taspen tegal|jadwal operasional taspen|kapan taspen buka|jam kerja taspen tegal|layanan taspen sampai jam berapa|taspen tegal tutup jam berapa|taspen buka hari apa saja|cek antrian taspen tegal|layanan taspen online|prosedur urus taspen",static,false," Layanan TASPEN Tegal tersedia setiap hari Senin dan Rabu pukul 08.00 - 14.00 WIB. 🏦 Jadwal ini khusus ya, pastikan datang di hari tersebut. Untuk hari lainnya dan hari libur nasional kantor tutup. ✨"
perintransnaker_info,"jam buka perintransnaker tegal|jadwal dinas perintransnaker|kapan perintransnaker buka|jam kerja perintransnaker tegal|layanan perintransnaker sampai jam berapa|perintransnaker tegal tutup jam berapa|dinas perintransnaker hari sabtu buka ga|kartu kuning online tegal|info loker perintransnaker|pendaftaran pelatihan perintransnaker",static,false," Kantor Dinas PERINTRANSNAKER Kab. Tegal melayani Anda pada hari Senin - Jumat pukul 08.00 - 14.00 WIB. 💼⚙️ Hari Sabtu, Minggu, dan hari libur nasional kantor tutup. Semangat produktif! ✨"
koperasi_info,"jam buka dinas koperasi ukm tegal|jadwal dinkop ukm|kapan dinas koperasi buka|jam kerja dinas koperasi ukm tegal|layanan dinkop ukm sampai jam berapa|dinkop ukm tegal tutup jam berapa|kantor koperasi buka hari ini ga|pendaftaran umkm tegal online|konsultasi koperasi tegal|info operasional dinkop ukm",static,false," Kantor Dinas Koperasi, UKM, dan Perdagangan Kab. Tegal melayani Anda setiap hari Senin - Jumat pukul 08.00 - 14.00 WIB. 🏪💼 Untuk hari Sabtu, Minggu, dan hari libur nasional kantor tutup ya. Sukses selalu untuk usahanya! ✨"
pn_info,"jam buka pengadilan negeri slawi|jadwal pn tegal|kapan pengadilan negeri buka|jam kerja pn slawi tegal|layanan pengadilan negeri sampai jam berapa|pn tegal tutup jam berapa|kantor pn slawi buka hari ini ga|jadwal sidang pn tegal|prosedur pendaftaran perkara tegal|info operasional pengadilan negeri",static,false," Kantor Pengadilan Negeri Slawi melayani Anda pada hari Senin - Jumat pukul 08.00 - 14.00 WIB. ⚖️🏛️ Khusus hari Sabtu, Minggu, dan hari libur nasional kantor tutup. Pastikan memeriksa jadwal persidangan Anda jika diperlukan! ✨"
dpmptsp_info,"jam buka dpmptsp tegal|jadwal dpmptsp slawi|kapan dpmptsp buka|jam kerja dpmptsp tegal|layanan dpmptsp sampai jam berapa|dpmptsp tegal tutup jam berapa|kantor perizinan buka hari ini ga|urus izin usaha tegal online|konsultasi dpmptsp tegal|cek status izin dpmptsp",static,false," Layanan DPMPTSP Kab. Tegal tersedia setiap hari Senin - Jumat pukul 08.00 - 14.00 WIB. 📝🏢 Kami siap melayani urusan perizinan dan investasi Anda. Hari Sabtu, Minggu, dan libur nasional kantor tutup. ✨"
