intent,pattern,response_type,is_master,response
nib_info,"cara buat nib tegal|daftar nib online slawi|syarat nib umkm tegal|bikin nib di kabupaten tegal gimana|link oss nib tegal|prosedur nib gratis tegal|dokumen nib usaha kecil|tempat urus nib di tegal|cara dapat nomor induk berusaha tegal|nib oss rba kabupaten tegal",static,false," Untuk membuat Nomor Induk Berusaha (NIB) di Kabupaten Tegal, Anda dapat mendaftar secara mandiri melalui sistem **OSS RBA** di situs **oss.go.id**. 📱💻 **Syarat utama:** NIK KTP, Email aktif, dan Data usaha. NIB ini gratis dan berlaku sebagai identitas tunggal pelaku usaha (TDP, IUI, dll). Jika butuh pendampingan, Anda bisa mengunjungi loket DPMPTSP di MPP Datya Dahayu.  ✨"
ak1_info,"cara buat kartu kuning tegal|daftar ak1 online slawi|syarat kartu pencari kerja tegal|bikin kartu kuning dimana|link pendaftaran ak1 tegal|cetak kartu kuning mandiri|prosedur kartu ak1 disperinaker|daftar bursa kerja jateng|dokumen kartu kerja tegal|cara dapat kartu kuning online",static,false," Pembuatan Kartu Kuning (AK1) di Kabupaten Tegal kini dilakukan secara online. 👷‍♂️💻 **Langkah-langkah:** |Registrasi di: *bursakerja.jatengprov.go.id/home/register_pencari_kerja* |Isi formulir di: *bit.ly/Cetak_AK1* |Tunggu konfirmasi admin via WhatsApp/Email. |File PDF akan dikirimkan untuk Anda cetak mandiri. ✨"
itr_info,"apa itu itr tegal|syarat izin tata ruang slawi|cara daftar itr sicantik|lokasi urus itr tegal|biaya izin informasi tata ruang|prosedur itr mpp tegal|dokumen permohonan itr|apa fungsi itr|cek tata ruang kabupaten tegal|syarat pbg itr",static,false," ITR (Informasi Tata Ruang) adalah dokumen informasi geografis untuk perencanaan penggunaan lahan. 🗺️🏗️ **Cara Urus:** * **Online:** via *www.sicantik.go.id* * **Offline:** Loket DPUPR di MPP Datya Dahayu (Senin-Jumat, 09.00-14.00 WIB). **Syarat Utama:** KTP, Bukti Legalitas Lahan (Sertifikat/PDF), Gambar Bidang, dan Surat Permohonan. Layanan ini penting sebagai syarat PBG (IMB) atau PTP. ✨"
sls_info,"apa itu sls tegal|syarat sertifikat laik sehat|cara urus sls rumah makan|sls dinas kesehatan tegal|pentingnya laik sehat usaha|sertifikat sanitasi lingkungan tegal|siapa yang butuh sls|pengertian sertifikat laik sehat|standar kesehatan tempat usaha|izin sanitasi makanan tegal",static,false," Sertifikat Laik Sehat (SLS) adalah bukti resmi bahwa tempat usaha Anda (seperti resto, hotel, atau depot air) telah memenuhi standar sanitasi dan kesehatan lingkungan. 🏥✨ Dokumen ini memastikan kebersihan bangunan, fasilitas air bersih, dan pengelolaan limbah Anda sudah aman. Pengurusan dapat dikonsultasikan melalui Dinas Kesehatan di MPP. ✨"
lkpm_info,"apa itu lkpm|cara lapor lkpm oss|jadwal pelaporan lkpm|tutorial isi lkpm online|lkpm triwulan berapa|siapa wajib lapor lkpm|kendala input lkpm|manfaat lapor lkpm|sanksi tidak lapor lkpm|panduan lkpm umkm tegal",static,false," **LKPM** (Laporan Kegiatan Penanaman Modal) adalah laporan wajib bagi pelaku usaha mengenai perkembangan investasi dan kendala yang dihadapi. **Cara Lapor via OSS:** |Login ke *oss.go.id* |Pilih menu **Pelaporan** -> **Pelaporan LKPM**. |Klik **Buat Laporan** untuk setiap lokasi usaha. |Isi data sesuai tahap usaha (Konstruksi atau Produksi/Komersial).  Pelaporan dilakukan berkala (Triwulan/Semester) tergantung skala usaha Anda. ✨"
akta_lahir_info,"syarat akta kelahiran tegal|cara buat akta lahir online|akta kelahiran anak baru lahir|biaya buat akta lahir|lama proses akta kelahiran|sipandu tegal akta lahir|cetak akta kelahiran mandiri|formulir f2.01 akta lahir|syarat akta lahir hilang|akta kelahiran gratis tegal",static,false," Mengurus Akta Kelahiran di Kabupaten Tegal kini **GRATIS** dan bisa online via **Sipandu**. **Persyaratan:** * Surat Ket. Lahir (Desa/RS) * Buku Nikah Orang Tua * KK & KTP Orang Tua * Formulir F-2.01 (Unduh di *sipandu.tegalkab.go.id*) **Prosedur:** Daftar via Sipandu -> Upload Berkas -> Verifikasi -> Selesai. ⏱️ **Waktu:** 1 Hari Kerja (jika sistem lancar). Akta & KK baru bisa dicetak mandiri! ✨"
akta_mati_info,"cara buat akta kematian tegal|syarat akte kematian|biaya akta kematian|sipandu tegal akta kematian|dokumen urus orang meninggal|akta kematian berapa hari jadi|fungsi akta kematian|formulir akta kematian tegal|ktp jenazah akta kematian|akta kematian online tegal",static,false," Akta Kematian penting untuk urusan waris, asuransi, dan update data KK. Layanan ini **GRATIS**. **Persyaratan:** * Surat Ket. Kematian (Desa/RS) * KK & KTP Asli Jenazah * Formulir F-2.01 via Sipandu * Putusan Pengadilan (jika jenazah tidak ditemukan) **Prosedur:** Ajukan via *sipandu.tegalkab.go.id*. Setelah disetujui dalam 1 hari kerja, Anda dapat mencetak Akta Kematian dan KK terbaru secara mandiri. ✨"
kk_info,"cara buat kk baru tegal|syarat kartu keluarga slawi|daftar kk online sipandu|kk tambah anak tegal|syarat kk pindah datang|kk hilang ganti baru|cetak kk mandiri tegal|biaya urus kk dukcapil|formulir f-1.01 f-1.02 kk|update kartu keluarga nikah|cara buat Kartu Keluarga baru|Syarat tambah anggota keluarga di KK|Prosedur mengurus KK yang hilang|Dokumen apa saja yang diperlukan untuk bikin KK|proses pembuatan KK",static,false," Mengurus Kartu Keluarga (KK) di Kabupaten Tegal kini GRATIS dan bisa dilakukan online melalui Sipandu. 👨‍👩‍👧‍👦✨|Syarat Utama:|Formulir F-1.01 & F-1.02 (Unduh di sipandu.tegalkab.go.id)|Buku Nikah/Akta Perkawinan|KK Lama (untuk update/tambah anggota)|Surat Ket. Lahir (untuk tambah anak)|Prosedur:|Ajukan di portal Sipandu|Upload scan berkas ASLI|Verifikasi 1 hari kerja|Setelah disetujui, Anda bisa Cetak Mandiri dari rumah. ✨"
surat_pindah_luar,"surat pindah luar kabupaten|cara urus surat pindah keluar kabupaten tegal|syarat skpwni slawi|pindah domisili antar kabupaten tegal|formulir f-1.03 pindah keluar|sipandu tegal pindah keluar|proses skpwni berapa lama|cetak surat pindah mandiri|biaya surat pindah luar kota|pindah kependudukan keluar tegal|dokumen pindah antar provinsi",static,false," Untuk mengurus surat pindah keluar Kabupaten Tegal (SKPWNI), layanannya GRATIS dan bisa diakses via Sipandu. 🚗✨|Syarat Dokumen:|Formulir F-1.03 (Unduh di sipandu.tegalkab.go.id)|Kartu Keluarga (KK) Asli|Prosedur:|Isi Formulir F-1.03|Pilih menu 'Pindah Keluar' di Sipandu|Upload scan berkas ASLI|Verifikasi admin (1 hari kerja)|Setelah disetujui, cetak SKPWNI secara mandiri untuk dibawa ke daerah tujuan. ✨"
loakk_info,"apa itu loakk tegal|cara buat loakk anak baru lahir|syarat paket loakk sipandu|kepanjangan loakk|bikin akta kk kia sekaligus|proses loakk berapa lama|loakk gratis atau bayar|formulir f-2.01 loakk|daftar loakk online|manfaat layanan loakk",static,false," LOAKK (Lahir Olih Akta Kelahiran, KK, dan KIA) adalah layanan paket 3-in-1 untuk bayi baru lahir di Kabupaten Tegal. 👶✨|Syarat Dokumen:|Surat Ket. Kelahiran (RS/Bidan)|Formulir F-2.01 (Unduh di sipandu.tegalkab.go.id)|Buku Nikah & KK Asli|Prosedur:|Isi Formulir F-2.01 di portal Sipandu|Upload scan berkas ASLI|Verifikasi 1 hari kerja|Setelah disetujui, Akta & KK bisa dicetak mandiri, sedangkan kartu KIA diambil di Dinas. GRATIS! ✨"
