intent,pattern,response_type,is_master,response
greetings,halo,static,true,"{""type"": ""text"", ""body"": ""Halo! ada yang bisa saya bantu?""}"
greetings,hai,static,true,"{""type"": ""text"", ""body"": ""Halo! ada yang bisa saya bantu?""}"
greetings,hello,static,true,"{""type"": ""text"", ""body"": ""Halo! ada yang bisa saya bantu?""}"
greetings,selamat pagi,static,true,"{""type"": ""text"", ""body"": ""Halo! ada yang bisa saya bantu?""}"
greetings,apa kabar,static,false,"{""type"": ""text"", ""body"": ""Baik-baik saja, terima kasih sudah bertanya""}"
greetings,bagaimana kabar mu,static,false,"{""type"": ""text"", ""body"": ""Baik-baik saja, terima kasih sudah bertanya""}"
greetings,pagi,dynamic,false,"{""type"": ""text"", ""body"": ""Selamat datang di chatbot kami""}"
greetings,malam,dynamic,false,"{""type"": ""text"", ""body"": ""Selamat datang di chatbot kami""}"
bye,sampai jumpa,static,true,"{""type"": ""text"", ""body"": ""Sampai jumpa lagi!""}"
bye,bye,static,true,"{""type"": ""text"", ""body"": ""Sampai jumpa lagi!""}"
bye,goodbye,static,true,"{""type"": ""text"", ""body"": ""Sampai jumpa lagi!""}"
bye,thanks,static,false,"{""type"": ""text"", ""body"": ""Sama-sama!""}"
bye,terima kasih,static,false,"{""type"": ""text"", ""body"": ""Sama-sama!""}"
help,bantuan,list,true,"{""type"": ""list"", ""title"": ""Saya bisa membantu dengan: Informasi"", ""items"": [""FAQ"", ""Dukungan teknis""]}"
help,help,list,true,"{""type"": ""list"", ""title"": ""Saya bisa membantu dengan: Informasi"", ""items"": [""FAQ"", ""Dukungan teknis""]}"
help,tolong,list,true,"{""type"": ""list"", ""title"": ""Saya bisa membantu dengan: Informasi"", ""items"": [""FAQ"", ""Dukungan teknis""]}"
help,bisa apa,list,false,"{""type"": ""list"", ""title"": ""Fitur kami: Pencarian"", ""items"": [""Filter"", ""Rekomendasi""]}"
help,fitur apa,list,false,"{""type"": ""list"", ""title"": ""Fitur kami: Pencarian"", ""items"": [""Filter"", ""Rekomendasi""]}"
help,gimana cara,static,false,"{""type"": ""text"", ""body"": ""Silahkan hubungi tim support kami""}"
info,tentang,static,true,"{""type"": ""text"", ""body"": ""Kami adalah chatbot AI yang membantu pengguna""}"
info,about,static,true,"{""type"": ""text"", ""body"": ""Kami adalah chatbot AI yang membantu pengguna""}"
info,informasi,dynamic,false,"{""type"": ""text"", ""body"": ""Tersedia 24/7 untuk membantu anda""}"
