intent,pattern,response_type,is_master,response
salam,halo,static,false,"{""type"": ""text"", ""body"": ""Hai, ada yang bisa saya bantu?""}"
salam,hello,static,false,"{""type"": ""text"", ""body"": ""Hai, ada yang bisa saya bantu?""}"
salam,helo,static,false,"{""type"": ""text"", ""body"": ""Hai, ada yang bisa saya bantu?""}"
salam,hallo,static,false,"{""type"": ""text"", ""body"": ""Hai, ada yang bisa saya bantu?""}"
salam,allo,static,false,"{""type"": ""text"", ""body"": ""Hai, ada yang bisa saya bantu?""}"
salam,oit,static,false,"{""type"": ""text"", ""body"": ""Hai, ada yang bisa saya bantu?""}"
salam,yuhu,static,false,"{""type"": ""text"", ""body"": ""Hai, ada yang bisa saya bantu?""}"
salam,hai,static,false,"{""type"": ""text"", ""body"": ""Halo, ada yang bisa saya bantu?""}"
salam,hi,static,false,"{""type"": ""text"", ""body"": ""Halo, ada yang bisa saya bantu?""}"
salam,hei,static,false,"{""type"": ""text"", ""body"": ""Halo, ada yang bisa saya bantu?""}"
salam,oi,static,false,"{""type"": ""text"", ""body"": ""Halo, ada yang bisa saya bantu?""}"
salam,selamat pagi,static,false,"{""type"": ""text"", ""body"": ""Selamat pagi, ada yang bisa saya bantu?""}"
salam,selamat siang,static,false,"{""type"": ""text"", ""body"": ""Selamat siang, ada yang bisa saya bantu?""}"
salam,selamat malam,static,false,"{""type"": ""text"", ""body"": ""Selamat malam, ada yang bisa saya bantu?""}"
salam,assalamualaikum,static,false,"{""type"": ""text"", ""body"": ""Waalaikumsalam, ada yang bisa saya bantu?""}"
terimakasih,oke makasih,static,false,"{""type"": ""text"", ""body"": ""Sama-sama.""}"
terimakasih,terimakasih,static,false,"{""type"": ""text"", ""body"": ""Sama-sama.""}"
terimakasih,terimakasih banyak,static,false,"{""type"": ""text"", ""body"": ""Sama-sama.""}"
terimakasih,mks,static,false,"{""type"": ""text"", ""body"": ""Sama-sama.""}"
terimakasih,mksh,static,false,"{""type"": ""text"", ""body"": ""Sama-sama.""}"
terimakasih,trims,static,false,"{""type"": ""text"", ""body"": ""Sama-sama.""}"
terimakasih,thx,static,false,"{""type"": ""text"", ""body"": ""Sama-sama.""}"
terimakasih,thanks,static,false,"{""type"": ""text"", ""body"": ""Sama-sama.""}"
terimakasih,thanx,static,false,"{""type"": ""text"", ""body"": ""Sama-sama.""}"
jam_buka_info,bappenda tegal buka jam berapa?,static,false,"{""type"": ""text"", ""body"": ""jam pelayanan buka pada hari Senin - Jumat pukul 08.00 - 14.00 WIB. 🕒 Hari Sabtu, Minggu, dan tanggal merah kami tutup ya. 😊✨""}"
